task_id	task_path	qualifying_status_evidence	extracted_resolved_commit_ids	baseline_ancestry	unresolved_non_commit_tokens	disposition_or_canonical_reference
T-0004-proto-intake	build-protocol/tasks/T-0004-proto-intake/TASK.md	Status: Complete; integrated into main and verified	6ce0b65539e13181a62a16337a043df36d2e20cd,b66f2db2c2d98d41f3f5c6da53ed81a7fd73d6ad,8c82646764708d5d3b2ebd94278766e6b7b14b33,3f82056cc1f5bacc004046ada5d753b08f18cb85,feee5c06cd2748f1570bb8432a2c6d84e45bf3e5	all-resolved-commits-are-baseline-ancestors	019f0e05,d0c0c7155ec9	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0005-metadata-type-registry	build-protocol/tasks/T-0005-metadata-type-registry/TASK.md	Status: Complete; integrated into `main`	80714f3ddf0b7fb7855af7e8e362dd96e0cefb15,5705890eb5cdedaa2044375c6d5cccc304bdf283,a8ad2fad6070479f156cb54211b14f6bfdb80117,a46a95a2efb8c75a613bda7390d0fa008931d3aa,9e234fd083d2f4d1773acfc1526bbd0e120b2bcd,350fc318e114b99061484c99d70d062a47a971d6,2fcec212005dab62b29c83fbbc86f95544df5ad4	all-resolved-commits-are-baseline-ancestors	019f0ebf,387d2b3b9b13,019f0edc,0645ebc1db57,b5003e4855c2,81c7709dfab7,482060e40d9d,fcc97abb8f1f,019f0ef3,69e8ca886c05,f516eae40fad,3e6d5d553a20,3e9c1df57f07,019f0ef4,ef6243e032b7,019f0f01,86e907acec1c	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0006-validation-facade	build-protocol/tasks/T-0006-validation-facade/TASK.md	Status: Integrated into main	62ffc332ebc74aaa2378dcef87275ea34fb71ca9,e9536621cfdbe93223491f199a0a588926448bed,4726985e1786929f5222707dc7abf77c448e8fa3,7d519d1f4555ffab058d1642065947355c0acf9e,0cecc9304eaf4ba2d16b3c4b5101d1b1c4ffbc89,15b7933216b038888e10ab3cbbefc93c7a79d78d,74d56ab798eb3fad09759d69e480985320af363a,76f6b017c55e51f5af639a837b2b529a469d47ac,9560d2e330cf76c9af910ab5c59d26aac278a9a5,9b51b43dac2db509c428fcc849411bbbf170948d,86aa522e31a692b49abb2de4aae7d41c8224f0ed,76cbe19beeef0703dded45b3aee66e6b95b0da93,876a5586ce20dba7e5ea2b6af50ca2b3c1ce7bb3,2e371b61c08ab5f67ecffb90a48a5ddf4ed0b616,2df2abf98a7a26c38e04f3abb0c4071bc0314a33,38bb610538834a4de74c68b813cd67af941bc2c1,52e0a26dbceeae6454463c338ca170e7e790d8a6,5f215e3416bc3da8c254c59823a4d430c7e15ee6,9b9b2ead3000f1de37ab6a8d307f8a922be72539,a012b644bc43addb6e4c3facc26f09dc2b895be8	all-resolved-commits-are-baseline-ancestors	019f0f0b,31329ce630dd,feedbac,cceeded,019f0f5e,b026fe155a9d,b2d1b4dddfa7,25c78da7a65d,6263831be036,e52dd54649a6,019f0f6d,9a3e0ddf9423,d4f0cd4c8c11,2fcb5307252e,8a87437c05f2,c74a00af01e0,019f0f71,01ca75bd2998,8c73c2fd97bf,8588345f5cab,8d8f9919c042,64ced20328d8,019f0f75,dc31cb431a67,7e163b25a345,e9946c8054c7,747cad2e932c,b525dce797d1,019f0f79,9a92768b4c52,dadb744bfcd3,3be2369b09e1,381d6fddb5f6,558867e02d4d,019f0f7d,e594a97cd6f2,531b72693fca,9ca4d068d6b4,bdbc6a77b97a,f1a589bc36b3	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0007-core-envelopes-context	build-protocol/tasks/T-0007-core-envelopes-context/TASK.md	Status: Integrated to `main`	f3807443e1ccaaeabdb1cfb6cc3b2cdfb9a841e3,9d35f3e81f1feef5ba9381897d637d5fe050aaa0,6cb1c125290a4514b8b6aec1ba9567499c1dcfa8,b0a14b0deec602e01dd2008fe1b6cf64aee5e7bb,6c53e6e90bc9794f0dbb6ce3f068cad7889280bc,44af7bcc00e5c6c28de8440e494f83fd4e5f0652	all-resolved-commits-are-baseline-ancestors	019f0faa,bc50a6d72920,1a57f2c5f526,d0239d1646d2,c385f62ba7ce,cbb0500fd302	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0007b-envelope-construction	build-protocol/tasks/T-0007b-envelope-construction/TASK.md	Status: Integrated into `main`	c31308615f7852c3fef5a5fe720a3fbcce7647e2,57fc257788bcfea62cd06f8111917227f5ce9a74,4656a1e077d983bf8832a936905d38b6c20f7beb,66cd115bf4adbd34db0a3718ff6bd36dfbf8a074,7d80347e6b357f47a4e1b3bf041da597dbcc2a1e,2fe6850be59a78e6331b0b8cd84fa8fb0641b281,8097a93a1074837b21586e83df3b0a66bdda99f4,77f9c2d4a94b5f7b9336c410d47ec847143e5231,dfdf21e2384342468c96bc41aeffbe70bfe7c800,0353f8a2f877d082ea9d51bf8b09b5c9af55bdbf	all-resolved-commits-are-baseline-ancestors	019f0fc3,a174936c045d,019f0fcc,688a5be1d662,eb2f4740ab52,81a07c880947,e2f678ad60c6,019f0fcd,7571d880095d,9be22957fb2ce59169ca36ee4ee921ba40346581	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0008a-storage-contracts	build-protocol/tasks/T-0008a-storage-contracts/TASK.md	Status: Complete	db7130e30f04543e8501d2ce97583ce35b5f88a9,0a6908e97458841281798ec4bd60f193a980d0fd,f1911d72c4f92c91423dee0cc77d8ed7d33ad81d,0760abf453c7ed67492ba7efed3f20e7cfa94859,d1ff2d96e1e67eeb072d8ac3868ec9fb2c54b475,baee5ae647fa67430f4e7fbe2e476c47edad3532,f82c2487cbfe99d22596e4bb9ccb2e246ae784d5,d0d204984ba51675337c6551a2ba0f72b438ef06,264c4a5fe6a0e4315a5df1cedae2fb436579e9bc,9613f84517b1b339a299339c83ba827735bbe4fe,7b489418c58b2c11171baf70d04db1d009aa5501,fa94e24bb19d6518311dc4470a404ece3853ac31,981e0c32ab83cdfaa6acfb467354286177a11267	all-resolved-commits-are-baseline-ancestors	019f0ff4,9120294e9083,019f1004,4a71a8fea916,13e86daebd3a,dde078c55143,5ecef92ba29e,019f1005,e6bb1ee956c9,88e693c9e8d5f18334bda0d75ef9db29d0255490,019f102a,af2ac0ab0d03,740b8d1dfb2d,dee1e90af241,67abd0923979,6f03c8c4d43d	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009a-entity-metadata	build-protocol/tasks/T-0009a-entity-metadata/TASK.md	Status: Complete	dd4a365ecfb8b48c476022e63008ee6b4204a96f,5b411112e6cd18fda815363c5d07a69a68c9d8e4,d24ef863ba1ae149c8f0a9071f429121604456a0,ec825a42aa62f55cbc5b945a7278a48f58633247,3194b9059ca79567c012d8ce66ce87fe83861902,a12e4f733a118441e076dc8f23ca91e6e0feff62,04d79eda430556635a35b9d247976ca0e4fd8f12,3a1e85150c838f7b03401ccdd0420717fbee7622,3723eeb349fa482893890f547708dbacef7295d6,b19a9dcd072a1e233c973e401f35d12f224de1f7,a27ed0aae001f544c64957eb71ef7c39eb3d3cf2,0b5053e2b11f0a6f53fb74f8541ebca76b2ffbb3,ce02f448409889157872b2dc1e2ba927c7653f48,d4f7f7beffd4eb2686cca1fc94b2b795c9759484,5b289a821755e49cc4842fca2b44bff5cd6b72e8	all-resolved-commits-are-baseline-ancestors	019f103e,49c49b017dbf,019f1056,8094ad784a03,dc5c901887b8,24587c5ea99d,246d91c21fa8,756c7e49b061,019f1035,6454f95303e7,019f1067,5f7b209d354b,f82c25bde3ec,59caf4d38545,81e59194cf72,735fde237f1f,019f106e,99d2da45460a,fc474169892d,76134ecec087,b88ec1b8e92c,fd02993e9953,019f1083,d07f04aef5f8,cc40bfc405bd,019f1084,719f183f5ea7,aef521411eea,8780c769d469	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009b-handler-metadata	build-protocol/tasks/T-0009b-handler-metadata/TASK.md	Status: Complete and integrated	11a6c70ed905a1389e608dcfe5d5c015be07152c,2b03b6b484ae6a29c5fd9c9a545a438c270dca52,b1d158eda2e9998136a78aa7163bc5ee9c553d43,28d8e419918c14ac1d54079bc912931ce8b23bd9,195112ab968b4560c5efab1c557a56ba59a0182b,b6c8251a7404c974b073615b1a2aa888444bdac4,6b514ac2f2f44af40358bf66135097740befef69,9d87aebf31fa347ba719910b18a29ac2152b54a6,a536eed8425c7f8dab8d38751fbd302ae344902d,174c7f1344d64726d54878657204d28865bede8d,d2004471392a890f1629a10b5f88d3b6b37ec9f1	all-resolved-commits-are-baseline-ancestors	019f1097,706db486721e,019f109d,cc93b9ead054	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009b3-handler-registry-validation	build-protocol/tasks/T-0009b3-handler-registry-validation/TASK.md	Status: Complete and integrated	3ecdaf09c8ebb741c1de702cba8ab9d5a6b653bd,041dc61b5f012351081ad3138c43b3182b0cc6ac,6a993212a5fa436a19214fc03ac52901a4035bdd,2c03b6a82902e4abdc066c67703354bf9140944f,19876ac756c96f425d6868b5e68f46e3957e913b,5975f7dc4e7f54e24d24f3e6c686edc28483fe20,d4f92aca1e7ffd4a94d2234d7c27137b8f043dbc,a83646257df8f3fdbf3055b94919428275987bca	all-resolved-commits-are-baseline-ancestors	019f1334,6dbd12020957	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009c1-decorator-metadata-collection	build-protocol/tasks/T-0009c1-decorator-metadata-collection/TASK.md	Status: Complete and integrated	de0860f1f3c5a3eedbfb4e476b0aa1c18575cec4,e711edc87d3640c279c9d2dbd6431337675595ed,07e40c0ec49fcc885cbdcbc527a29bde4f76072b,39008b772f284646ba1facf971523370afd04383,f84ca921ffea8828b23c2af58594f4c9462e88c6,e480a33f076fa750f8f49560ea59f041c8a2d821,461179546eed16cd3fd4f65f6ed175a6c3c956f4,6d4a8d027e6f124a73a5245516e0b0b9fcee7d3e,f33690fffa0e35619a10fb28e3b2ed6630ff468a	all-resolved-commits-are-baseline-ancestors	019f135f,8ba84237d0af,019f1368,b20e86b54e1b	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
